Nom_Fr,Nom_Ar,apports,id_barrage,lachers,stock,cumul_mensuel_apports,cumul_annuel_apports,cumul_mensuel_lachers,cumul_annuel_lachers,moy_mois,cumul_annee_prec,moy_periode,stock_annee_prec,Cap_tot_act,Cote,Cap_tot_init,fonctionnel,Annee_prod,Latitude,Longitude,Bassin_versant,Date
moula,المولى,0.0,32,0.0,25.9346,0.133663,10.9411,0.0,8.111,0.118173,15.5842,31.8587,25.834,26.3,110.0,26.3,1.0,2013,36.9347,8.84504,58.0,2022-07-02 00:00:00
selbarrak,سيدي البــــراق,0.0,11,0.39806,250.271,2.72248,246.45,10.5118,164.863,1.97054,173.779,296.035,244.731,286.514,27.0,286.514,1.0,1999,37.0261,8.93618,865.0,2022-07-02 00:00:00
ziatine,الزياتين,0.0183198,12,0.05434,22.8128,0.41026,18.1746,1.55751,10.5648,0.1,11.7494,29.2,22.52,33.0,37.0,33.0,1.0,2012,37.1856,9.20109,95.0,2022-07-02 00:00:00
gamgoum,القمقوم,0.00626022,13,0.0,17.3357,0.124705,8.75106,0.0,6.9895,0.0,6.9283,7.96404,17.5792,18.3,48.0,18.3,1.0,2012,37.1991,9.26906,35.5,2022-07-02 00:00:00
harka,الحركة,0.0193582,35,0.0,27.273,0.393335,16.1018,0.0,10.7145,0.34,,24.5,29.1589,30.3,38.4,30.3,1.0,2016,37.0605,9.23982,77.0,2022-07-02 00:00:00
siliana,سليانـــــــة,0.0264666,14,0.145014,7.45387,0.299119,10.812,1.18761,2.17339,0.902666,11.2058,35.1662,4.12368,33.4411,388.5,70.0,1.0,1987,36.1571,9.35208,1040.0,2022-07-02 00:00:00
lakhmess,لخمـــــــاس,0.00341542,15,0.002522,6.49878,0.160562,6.67884,0.382031,0.911414,0.481743,1.61896,12.4042,1.94239,7.22,517.06,8.22,1.0,1966,35.9952,9.47242,127.0,2022-07-02 00:00:00
rmil,الرميـــــــل,0.00200027,16,0.003648,0.8125,0.0684019,1.25702,0.188306,0.406914,0.0634854,1.56136,10.0152,0.879,2.0,285.0,4.0,1.0,2002,36.302,9.50269,232.0,2022-07-02 00:00:00
birmcherga,بئر المشارقـــة,0.0,17,0.004,20.1247,0.0245427,5.33093,0.12,1.212,0.338467,9.37769,25.9843,28.9538,41.599,122.5,52.9,1.0,1971,36.5112,10.0114,1263.0,2022-07-02 00:00:00
rmel,الرمــــــل,0.011976,18,0.0,0.900043,0.325536,1.64837,0.0,0.0158,0.16196,6.15259,15.8926,1.777,23.83,43.0,22.0,1.0,1998,36.3318,10.3597,675.0,2022-07-02 00:00:00
nebhana,نبهانــــــة,0.00136292,19,0.07441,14.6875,0.442636,18.8134,2.17096,4.13849,0.741472,6.87425,22.3256,3.7824,58.76,230.0,86.5,1.0,1965,36.06,9.87235,855.0,2022-07-02 00:00:00
sidisaad,سيدي سعـــد,0.0,20,0.0,33.9897,0.16273,13.5605,0.0,1.84026,2.50689,23.119,44.4849,37.8633,133.317,270.0,209.0,1.0,1981,35.3901,9.69476,8950.0,2022-07-02 00:00:00
elhaouareb,هـــــــوارب,0.0,21,0.0072,4.79743,0.0,15.0016,0.18128,0.552748,0.496056,8.3042,14.7297,0.300336,77.47,217.0,0.0,1.0,1989,35.5727,9.74681,1120.0,2022-07-02 00:00:00
sficifa,سفيسيفة,0.00150053,22,0.0,1.49861,0.0301189,0.183362,0.0,0.0,0.56,0.248893,76.248,1.55724,7.71,677.8,4.24,1.0,2005,35.3413,9.07053,173.65,2022-07-02 00:00:00
